dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,alpha_mean,beta_eff_mean
METR-LA,incident_perturbation,GenericAdapter,0.5415618629847557,0.028694639319967633,0.9648469951165711,0.06363857448956305,12,0.4046555894194868,,
METR-LA,incident_perturbation,RePAC,0.5181934793034112,0.02847453253734132,0.9228439626292916,0.06105854631636022,12,0.3494557047892038,1.51944566766421,0.9269026060313843
METR-LA,incident_perturbation,Target Backbone,0.5533605580297275,0.028193206916763417,0.974314591499373,0.06870034948844493,12,,,
METR-LA,random_missing_50,GenericAdapter,0.5306980993242472,0.02813827040494688,0.9578280399737976,0.06391417669059442,12,0.37816204282665095,,
METR-LA,random_missing_50,RePAC,0.5060210338734468,0.02776356818901703,0.9126576657009128,0.06108760174397715,12,0.3464567732447141,1.5193835993607838,0.9293291741264319
METR-LA,random_missing_50,Target Backbone,0.5419850140068129,0.02789292970957132,0.9727616459176384,0.06652608125077937,12,,,
METR-LA,sensor_failure_30,GenericAdapter,0.6324987195013815,0.05449896199711259,1.0512975090226881,0.06543061014976598,12,0.4122797192353644,,
METR-LA,sensor_failure_30,RePAC,0.6115056656594772,0.04965239529166496,1.0201278962643476,0.061277499047044166,12,0.2913119772998805,1.512563318014145,0.8915662731321055
METR-LA,sensor_failure_30,Target Backbone,0.6469785537628575,0.06711787675720397,1.0436640529827024,0.06580150216700426,12,,,
PEMS-BAY,incident_perturbation,GenericAdapter,0.8640817655307194,0.10390883093951603,1.6132317131870995,0.19401341822300083,12,0.4642089838384253,,
PEMS-BAY,incident_perturbation,RePAC,0.8218917010287731,0.09500922297166021,1.5549905027496218,0.18673810263505636,12,0.2683483516668919,1.5281184514363606,0.994014683900564
PEMS-BAY,incident_perturbation,Target Backbone,0.8754857019108561,0.09777295485001494,1.6324350776893277,0.18871351568763545,12,,,
PEMS-BAY,random_missing_50,GenericAdapter,0.8496596186610414,0.10235954249868291,1.59498758721546,0.19787560626603506,12,0.36063752681571365,,
PEMS-BAY,random_missing_50,RePAC,0.8006399373487006,0.09329656478614588,1.5288878391882885,0.1907166977638643,12,0.2691328390447589,1.5279277861118317,0.9927762425200836
PEMS-BAY,random_missing_50,Target Backbone,0.8682411408342462,0.10093216102407249,1.6218275084775182,0.19738371402454316,12,,,
PEMS-BAY,sensor_failure_30,GenericAdapter,1.0104163840964988,0.12640573296059843,1.8065902200430326,0.18971921831061164,12,0.6855690192743764,,
PEMS-BAY,sensor_failure_30,RePAC,0.9781211858794081,0.11956092771667569,1.7609348709034842,0.1822131763226916,12,0.27328396636432345,1.5080785155296326,0.8505839998759921
PEMS-BAY,sensor_failure_30,Target Backbone,0.9983975849454364,0.12348324060399318,1.7922563850013187,0.18743185640781385,12,,,
PEMS03,incident_perturbation,GenericAdapter,0.26487520735303494,0.042993967715085665,0.3669124576820429,0.0633168927123312,12,0.3837422405132443,,
PEMS03,incident_perturbation,RePAC,0.24854630895717922,0.03744408835914292,0.3452180018499089,0.05617048747808955,12,0.3813146217300774,1.5296895901362102,0.9362549179429341
PEMS03,incident_perturbation,Target Backbone,0.28009846039274905,0.04950134374804813,0.3861404132282346,0.07057430245121861,12,,,
PEMS03,random_missing_50,GenericAdapter,0.250048310545293,0.048748379543418985,0.34786478254707065,0.06875684036745786,12,0.38307824890490005,,
PEMS03,random_missing_50,RePAC,0.233308754381612,0.04440518313100935,0.32597954699645676,0.06340496415559195,12,0.3730334043689926,1.5299932360649109,0.9453645339366291
PEMS03,random_missing_50,Target Backbone,0.26479954905736713,0.05551234777153255,0.3672350919330041,0.07761804052922254,12,,,
PEMS03,sensor_failure_30,GenericAdapter,0.5708216333438798,0.1714743167995977,0.7679086256370161,0.16971396080570447,12,0.4172345534787123,,
PEMS03,sensor_failure_30,RePAC,0.5505680653330115,0.16339355010289694,0.740552115685618,0.16341834469154545,12,0.3328303478712357,1.5191554228464763,0.9527537450529623
PEMS03,sensor_failure_30,Target Backbone,0.5751462482836635,0.1738370663755008,0.7722941904790152,0.1718324214726651,12,,,
PEMS04,incident_perturbation,GenericAdapter,0.34941274573935627,0.060330309447138984,0.4985111839735283,0.09776902994782243,12,0.39874623826906563,,
PEMS04,incident_perturbation,RePAC,0.3256315139833395,0.05754999785258962,0.46816942713175025,0.094030705057485,12,0.33785076403692654,1.5283247232437134,0.9957247180507243
PEMS04,incident_perturbation,Target Backbone,0.3640065002353421,0.06373759376863121,0.5168866749914094,0.10594087202551149,12,,,
PEMS04,random_missing_50,GenericAdapter,0.33298786845089784,0.06812822861488467,0.47537082656872703,0.10902437295214214,12,0.40678885347325683,,
PEMS04,random_missing_50,RePAC,0.31031020621364086,0.06451339122868541,0.44538792742705846,0.10467140415697024,12,0.3375307534259382,1.5281285146872203,0.9952202264015376
PEMS04,random_missing_50,Target Backbone,0.3467027092118286,0.07267924575398331,0.4925299955235824,0.11971540114410359,12,,,
PEMS04,sensor_failure_30,GenericAdapter,0.6188266557579839,0.16226091144078625,0.8650172361604761,0.1720553576004609,12,0.38625327093397743,,
PEMS04,sensor_failure_30,RePAC,0.5902046719610979,0.1533507945565326,0.82900764384607,0.16386940683459614,12,0.29144650764895325,1.519364873568217,0.9533308339387706
PEMS04,sensor_failure_30,Target Backbone,0.6275292272153108,0.16459428493549108,0.8723088824122961,0.1763750397156999,12,,,
PEMS08,incident_perturbation,GenericAdapter,0.2636362162507494,0.03525111037584666,0.35246526327816546,0.03855961274457733,12,0.41260742745647394,,
PEMS08,incident_perturbation,RePAC,0.2525422652254106,0.02947139002507899,0.3380068766162146,0.03326512191346742,12,0.39944853017266024,1.5051801999409993,0.7917688528893057
PEMS08,incident_perturbation,Target Backbone,0.27032370769322167,0.0398372909914561,0.36076871657119763,0.043776306855991515,12,,,
PEMS08,random_missing_50,GenericAdapter,0.25351579222564663,0.03826159379918681,0.34184780279538457,0.03986538390353053,12,0.39434407637901486,,
PEMS08,random_missing_50,RePAC,0.24008796625710305,0.03464284479200146,0.32523590119235624,0.036967259861423046,12,0.38283318882667455,1.5130635996659596,0.8354192708228619
PEMS08,random_missing_50,Target Backbone,0.2619221129174543,0.04078709418284933,0.3518556942815614,0.043033873183719616,12,,,
PEMS08,sensor_failure_30,GenericAdapter,0.5040460973004111,0.14871991043995447,0.6637587583846641,0.1512657413168845,12,0.42782089687726943,,
PEMS08,sensor_failure_30,RePAC,0.4919041209058131,0.14726323228140667,0.6466381412045581,0.15264766995426554,12,0.39724037763253445,1.5082462131977081,0.847509540676984
PEMS08,sensor_failure_30,Target Backbone,0.507035523458244,0.14833381328468107,0.6682513558812948,0.15167045368220433,12,,,


